Rank,Name,Team,Bye,ADP,Tier
1,Houston Texans,HOU,8,,
2,Los Angeles Rams,LAR,11,,
3,Denver Broncos,DEN,10,,
4,Seattle Seahawks,SEA,11,,
5,Philadelphia Eagles,PHI,10,,
6,New England Patriots,NE,11,,
7,Minnesota Vikings,MIN,6,,
8,Jacksonville Jaguars,JAX,7,,
9,Pittsburgh Steelers,PIT,9,,
10,Los Angeles Chargers,LAC,7,,
11,Cleveland Browns,CLE,11,,
12,Kansas City Chiefs,KC,5,,
13,Baltimore Ravens,BAL,13,,
14,Green Bay Packers,GB,11,,
15,Detroit Lions,DET,6,,
16,Buffalo Bills,BUF,7,,
17,Atlanta Falcons,ATL,11,,
18,San Francisco 49ers,SF,8,,
19,Indianapolis Colts,IND,13,,
20,New York Giants,NYG,8,,
21,Chicago Bears,CHI,10,,
22,New Orleans Saints,NO,8,,
23,Carolina Panthers,CAR,5,,
24,Dallas Cowboys,DAL,14,,
25,Tampa Bay Buccaneers,TB,10,,
26,Washington Commanders,WAS,7,,
27,Miami Dolphins,MIA,6,,
28,Cincinnati Bengals,CIN,6,,
29,Tennessee Titans,TEN,9,,
30,Las Vegas Raiders,LV,13,,
31,New York Jets,NYJ,13,,
32,Arizona Cardinals,ARI,14,,
