Rank,Name,Team,Bye,ADP,Tier,Points,Risk,Upside
1,Josh Allen,BUF,7,2.10,1,377.9,2.6,9.7
2,Lamar Jackson,BAL,13,3.08,2,342.6,5.5,9.0
3,Jayden Daniels,WAS,7,6.06,3,335.0,6.0,8.5
4,Joe Burrow,CIN,6,5.05,3,333.6,5.5,8.9
5,Jalen Hurts,PHI,10,5.12,4,331.0,3.8,5.8
6,Drake Maye,NE,11,4.11,4,330.7,4.1,8.2
7,Jaxson Dart,NYG,8,8.11,4,327.4,5.7,8.2
8,Trevor Lawrence,JAX,7,9.05,4,326.9,4.9,7.7
9,Caleb Williams,CHI,10,6.12,4,324.7,5.8,7.8
10,Dak Prescott,DAL,14,7.05,5,322.2,4.1,7.7
11,Bo Nix,DEN,10,10.10,5,319.3,4.6,6.8
12,Justin Herbert,LAC,7,7.11,5,318.4,4.8,7.8
13,Brock Purdy,SF,8,11.03,5,317.8,4.2,7.5
14,Kyler Murray,MIN,6,13.07,6,309.9,7.5,7.5
15,Tyler Shough,NO,8,16.07,6,309.8,4.3,7.3
16,Baker Mayfield,TB,10,12.12,6,309.2,4.1,6.8
17,Patrick Mahomes,KC,5,10.03,6,307.2,5.3,8.2
18,Jared Goff,DET,6,11.12,6,306.7,2.8,7.2
19,Jordan Love,GB,11,13.10,6,306.6,3.3,6.2
20,Matthew Stafford,LAR,11,8.11,6,303.0,5.7,5.7
21,Malik Willis,MIA,6,18.05,7,291.7,4.6,8.0
22,C.J. Stroud,HOU,8,18.03,8,269.6,4.2,6.1
23,Sam Darnold,SEA,11,14.07,8,268.7,4.0,6.2
24,Cam Ward,TEN,9,20.02,8,268.3,4.6,6.0
25,Daniel Jones,IND,13,17.11,8,259.2,7.5,6.3
26,Bryce Young,CAR,5,19.10,8,247.0,4.0,5.4
27,Aaron Rodgers,PIT,9,20.01,8,243.0,7.0,3.8
28,Geno Smith,NYJ,13,,8,239.5,4.9,3.9
29,Jacoby Brissett,ARI,14,21.03,9,206.8,4.7,6.0
30,Tua Tagovailoa,ATL,11,20.09,9,176.8,5.5,4.3
31,Deshaun Watson,CLE,11,,9,162.7,9.3,4.3
32,Shedeur Sanders,CLE,11,20.08,9,149.7,8.1,5.8
33,Fernando Mendoza,LV,13,16.07,9,127.5,8.8,6.7
34,Michael Penix Jr.,ATL,11,19.12,9,111.1,5.3,4.7
35,Kirk Cousins,LV,13,,9,106.5,8.1,4.8
36,Carson Beck,ARI,14,,9,79.8,8.5,5.8
