Rank,Name,Team,Bye,ADP,Tier,Points,Risk,Upside
1,Jahmyr Gibbs,DET,6,1.02,1,379.5,2.0,9.8
2,Bijan Robinson,ATL,11,1.03,1,365.7,1.3,10.0
3,Christian McCaffrey,SF,8,1.06,2,344.4,5.6,9.3
4,Jonathan Taylor,IND,13,1.07,3,293.5,3.9,9.0
5,James Cook III,BUF,7,1.10,3,292.1,2.5,8.4
6,De'Von Achane,MIA,6,2.01,4,282.2,3.8,9.1
7,Kenneth Walker,KC,5,2.08,4,265.1,5.0,8.2
8,Chase Brown,CIN,6,2.04,4,264.9,4.8,8.4
9,Omarion Hampton,LAC,7,2.03,5,253.1,4.7,8.7
10,Saquon Barkley,PHI,10,1.12,5,245.6,4.9,8.3
11,Ashton Jeanty,LV,13,2.02,5,244.3,8.8,8.7
12,Derrick Henry,BAL,13,2.08,6,239.7,5.3,8.6
13,Jeremiyah Love,ARI,14,3.04,6,233.3,5.3,8.5
14,Kyren Williams,LAR,11,3.05,6,232.5,5.5,8.0
15,Breece Hall,NYJ,13,3.10,6,228.8,5.3,8.1
16,D'Andre Swift,CHI,10,5.03,6,228.4,5.3,6.8
17,Javonte Williams,DAL,14,3.09,6,221.2,4.3,7.7
18,Travis Etienne Jr.,NO,8,4.09,7,217.7,4.6,7.6
19,Cam Skattebo,NYG,8,4.07,7,214.0,6.5,7.2
20,Bucky Irving,TB,10,4.08,7,214.0,5.8,7.7
21,Bhayshul Tuten,JAX,7,6.02,7,210.9,6.4,7.7
22,Quinshon Judkins,CLE,11,5.06,7,200.9,5.0,7.6
23,TreVeyon Henderson,NE,11,5.09,7,195.7,5.1,8.2
24,Jadarian Price,SEA,11,6.04,7,194.9,5.5,7.2
25,David Montgomery,HOU,8,4.12,7,194.3,4.1,6.8
26,Rhamondre Stevenson,NE,11,7.09,8,189.0,4.8,5.6
27,Rico Dowdle,PIT,9,8.03,8,183.2,4.5,4.0
28,Kenny Gainwell,TB,10,10.03,8,173.5,4.4,5.6
29,Jaylen Warren,PIT,9,6.12,8,173.3,4.4,6.2
30,Jacory Croskey-Merritt,WAS,7,10.08,8,170.2,6.3,5.9
31,Chuba Hubbard,CAR,5,7.07,8,164.1,6.7,5.2
32,Tony Pollard,TEN,9,8.01,8,163.8,5.6,5.9
33,J.K. Dobbins,DEN,10,8.08,8,163.4,7.5,6.2
34,Jonathon Brooks,CAR,5,9.04,8,162.8,7.2,6.0
35,MarShawn Lloyd,GB,11,14.03,8,162.2,8.3,6.2
36,Kyle Monangai,CHI,10,9.07,8,156.6,5.8,5.7
37,Jordan Mason,MIN,6,10.03,8,155.2,4.0,6.4
38,Rachaad White,WAS,7,12.02,8,150.5,4.6,5.6
39,Blake Corum,LAR,11,9.05,9,146.8,4.6,6.8
40,RJ Harvey,DEN,10,7.07,9,145.8,6.2,5.5
41,Aaron Jones Sr.,MIN,6,11.08,9,138.1,4.3,5.3
42,Tyjae Spears,TEN,9,14.09,9,133.9,4.6,4.7
43,Woody Marks,HOU,8,13.03,9,118.9,4.3,5.4
44,Chris Rodriguez Jr.,JAX,7,12.07,9,114.9,5.1,5.2
45,Keaton Mitchell,LAC,7,16.04,10,109.0,4.7,4.9
46,Zach Charbonnet,SEA,11,13.08,10,107.3,7.0,5.2
47,Tyler Allgeier,ARI,14,12.10,10,106.4,4.0,3.5
48,Dylan Sampson,CLE,11,16.09,10,106.3,3.7,4.9
49,Jonah Coleman,DEN,10,14.10,10,104.1,5.3,5.8
50,Mike Washington Jr.,LV,13,14.03,10,103.5,5.8,6.2
51,Tyrone Tracy Jr.,NYG,8,15.06,10,102.5,5.9,5.0
52,Tank Bigsby,PHI,10,15.11,10,99.0,4.6,6.0
53,Alvin Kamara,NO,8,14.12,10,98.2,6.5,4.2
54,Josh Jacobs,GB,11,4.03,10,97.3,8.7,4.7
55,Najee Harris,NYG,8,19.04,10,95.6,5.7,2.7
56,Brian Robinson,ATL,11,15.05,10,91.4,3.7,4.3
57,Malik Davis,DAL,14,,10,86.8,5.3,2.8
58,Jordan James,SF,8,,10,84.8,4.8,4.2
59,Kimani Vidal,LAC,7,20.10,10,84.3,4.4,3.9
60,Justice Hill,BAL,13,,10,83.6,3.7,4.0
61,Isiah Pacheco,DET,6,16.11,10,82.0,5.2,4.7
62,Samaje Perine,CIN,6,,10,80.0,4.1,3.1
63,Emmett Johnson,KC,5,18.04,10,79.1,4.8,4.5
64,Nicholas Singleton,TEN,9,18.08,10,76.3,5.4,5.7
65,Ty Johnson,BUF,7,,10,74.5,3.5,3.8
66,LeQuint Allen Jr.,JAX,7,,10,73.2,4.9,3.2
67,James Conner,ARI,14,20.03,10,67.0,4.3,3.3
68,Braelon Allen,NYJ,13,18.01,10,63.8,5.0,5.1
69,George Holani,SEA,11,,10,63.6,4.5,2.0
70,Isaiah Davis,NYJ,13,,10,62.6,5.2,3.3
71,Chris Brooks,GB,11,,10,60.9,4.3,4.0
72,Kaelon Black,SF,8,17.03,10,60.0,5.7,4.9
73,Jerome Ford,FA,,,10,58.2,4.8,2.3
74,Brashard Smith,KC,5,19.10,10,57.3,4.8,3.0
75,Kaleb Johnson,GB,11,18.12,10,54.7,4.7,3.3
76,Ray Davis,BUF,7,19.07,10,54.6,3.8,4.7
77,Emanuel Wilson,SEA,11,21.10,10,48.1,4.9,3.2
78,Jaylen Wright,MIA,6,21.08,10,46.3,5.0,4.8
79,Kaytron Allen,WAS,7,20.11,10,45.4,5.3,3.5
80,Emari Demercado,DAL,14,,10,45.3,5.3,2.0
81,Devin Singletary,NYG,8,,10,44.9,4.9,2.9
82,DJ Giddens,IND,13,,10,44.0,5.1,3.8
83,Sean Tucker,TB,10,21.04,10,42.6,4.8,3.2
84,Demond Claiborne,MIN,6,21.02,10,42.3,5.3,4.8
85,Trevor Etienne,CAR,5,,10,40.3,4.3,3.8
86,Ollie Gordon II,MIA,6,,10,38.8,5.1,2.9
87,Seth McGowan,IND,13,,10,38.0,5.0,3.8
88,Jacob Saylors,DET,6,54.08,10,37.8,5.3,3.0
89,Devin Neal,FA,,18.08,10,37.0,5.7,1.0
90,Will Shipley,PHI,10,,10,33.3,4.6,2.0
91,AJ Dillon,CAR,5,,10,32.9,3.3,2.0
92,Jaydon Blue,PHI,10,20.01,10,31.6,4.0,4.0
93,Adam Randall,BAL,13,,10,31.6,4.7,3.8
94,Tahj Brooks,CIN,6,,10,27.1,4.2,3.6
95,Audric Estimé,NO,8,20.09,10,4.7,1.0,1.0
