Rank,Name,Team,Bye,ADP,Tier,Points,Risk,Upside
1,Brock Bowers,LV,13,2.11,1,259.6,2.5,9.8
2,Trey McBride,ARI,14,2.12,1,259.1,4.2,8.3
3,Tyler Warren,IND,13,5.01,2,216.9,3.4,8.8
4,Colston Loveland,CHI,10,4.04,2,215.7,4.2,9.2
5,Harold Fannin Jr.,CLE,11,6.10,3,201.2,4.1,8.6
6,Tucker Kraft,GB,11,6.03,3,191.0,5.5,8.2
7,George Kittle,SF,8,7.12,3,188.3,8.0,8.4
8,Sam LaPorta,DET,6,5.10,4,184.9,4.4,6.2
9,Kyle Pitts Sr.,ATL,11,6.09,4,176.7,5.8,6.3
10,Juwan Johnson,NO,8,15.10,4,168.3,3.8,5.2
11,Travis Kelce,KC,5,8.05,4,165.2,4.8,5.5
12,Jake Ferguson,DAL,14,9.03,4,161.5,5.3,6.4
13,Dalton Schultz,HOU,8,16.01,4,160.6,3.1,4.8
14,Dallas Goedert,PHI,10,11.01,4,158.8,5.1,6.3
15,Isaiah Likely,NYG,8,9.11,4,157.6,3.8,5.8
16,Dalton Kincaid,BUF,7,8.04,4,157.5,5.8,7.7
17,Brenton Strange,JAX,7,13.11,5,155.6,3.6,5.5
18,Mark Andrews,BAL,13,11.07,5,148.9,4.0,5.5
19,Hunter Henry,NE,11,12.09,5,146.6,3.4,5.9
20,Chig Okonkwo,WAS,7,16.12,6,143.3,3.8,5.2
21,Greg Dulcich,MIA,6,20.02,6,130.4,4.8,5.8
22,T.J. Hockenson,MIN,6,14.09,6,128.2,4.1,5.2
23,Kenyon Sadiq,NYJ,13,15.06,6,126.4,4.6,5.4
24,Pat Freiermuth,PIT,9,20.12,6,126.2,4.2,3.8
25,Cade Otton,TB,10,20.05,7,123.1,3.8,3.8
26,AJ Barner,SEA,11,16.05,7,113.0,3.9,4.2
27,Oronde Gadsden,LAC,7,13.07,7,108.1,4.5,6.8
28,David Njoku,LAC,7,19.07,7,105.3,5.3,3.9
29,Colby Parkinson,LAR,11,21.11,7,104.2,4.1,4.8
30,Darren Waller,CAR,5,,7,104.0,5.0,3.8
31,Mike Gesicki,CIN,6,,7,102.6,3.6,5.6
32,Cole Kmet,CHI,10,,7,99.5,3.5,3.7
33,Gunnar Helm,TEN,9,20.05,7,96.9,4.2,4.3
34,Evan Engram,DEN,10,,7,94.2,4.7,2.8
35,Terrance Ferguson,LAR,11,18.04,7,85.9,5.1,4.4
36,Mason Taylor,NYJ,13,19.08,8,84.2,4.1,3.6
37,Charlie Kolar,LAC,7,,8,81.3,4.3,2.7
38,Michael Mayer,LV,13,,8,80.6,4.8,2.5
39,Dawson Knox,BUF,7,,8,79.3,2.5,2.8
40,Luke Musgrave,GB,11,,8,74.7,4.7,3.8
41,Ja'Tavion Sanders,CAR,5,,8,72.8,4.0,3.9
42,Theo Johnson,NYG,8,20.04,8,72.0,4.2,4.8
43,Eli Stowers,PHI,10,20.11,8,67.0,6.3,5.3
44,Noah Gray,KC,5,,8,63.3,4.3,2.3
45,Tommy Tremble,CAR,5,,8,60.0,3.0,3.0
46,Elijah Arroyo,SEA,11,,8,57.4,4.5,4.4
47,Darnell Washington,PIT,9,,8,57.2,4.6,3.1
48,Max Klare,LAR,11,21.09,8,55.8,5.4,4.6
49,Jake Tonges,SF,8,21.01,8,54.9,4.0,2.5
50,Ben Sinnott,WAS,7,,8,49.1,8.0,5.9
51,Noah Fant,NO,8,,8,43.1,4.8,3.3
52,Nate Boerkircher,JAX,7,,8,24.1,1.0,1.0
53,Justin Joly,MIA,6,,8,15.6,4.5,1.0
54,Oscar Delp,NO,8,,8,13.2,6.9,3.8
