Rank,Name,Team,Bye,ADP,Tier,Points,Risk,Upside
1,Ja'Marr Chase,CIN,6,1.04,1,338.8,3.2,9.7
2,Jaxon Smith-Njigba,SEA,11,1.07,2,320.8,2.0,9.7
3,Puka Nacua,LAR,11,1.05,2,310.7,8.0,9.6
4,Amon-Ra St. Brown,DET,6,1.08,2,309.9,1.0,9.7
5,CeeDee Lamb,DAL,14,1.11,2,288.4,2.6,9.3
6,Justin Jefferson,MIN,6,1.11,3,259.8,4.7,9.5
7,A.J. Brown,NE,11,2.06,3,257.8,5.3,8.0
8,Chris Olave,NO,8,3.06,3,255.8,6.2,8.8
9,Nico Collins,HOU,8,3.01,3,255.0,4.6,8.9
10,Garrett Wilson,NYJ,13,4.11,3,253.5,4.9,8.1
11,Drake London,ATL,11,2.07,3,252.5,4.0,9.1
12,George Pickens,DAL,14,2.10,3,251.9,5.0,8.9
13,Rashee Rice,KC,5,3.06,3,251.1,9.5,8.3
14,Malik Nabers,NYG,8,3.03,4,248.8,7.8,9.0
15,DeVonta Smith,PHI,10,3.08,4,244.3,3.4,7.6
16,Zay Flowers,BAL,13,4.05,4,244.0,4.3,7.5
17,Jaylen Waddle,DEN,10,4.09,5,242.0,5.0,7.7
18,Ladd McConkey,LAC,7,3.12,5,240.2,4.7,6.8
19,Emeka Egbuka,TB,10,4.03,5,236.4,5.5,8.1
20,Tetairoa McMillan,CAR,5,4.02,5,235.4,4.0,8.2
21,Tee Higgins,CIN,6,3.11,5,234.0,6.1,8.3
22,Carnell Tate,TEN,9,6.08,5,231.6,5.9,6.8
23,Davante Adams,LAR,11,5.02,5,229.5,5.2,7.8
24,Luther Burden III,CHI,10,5.07,6,228.5,5.5,7.8
25,Christian Watson,GB,11,6.10,6,225.6,6.6,8.1
26,Parker Washington,JAX,7,7.01,6,224.0,4.3,6.2
27,Terry McLaurin,WAS,7,5.07,6,221.3,4.4,6.8
28,Jameson Williams,DET,6,6.01,6,220.6,5.3,7.7
29,DJ Moore,BUF,7,5.06,6,220.4,4.2,7.1
30,Mike Evans,SF,8,6.03,7,216.7,7.8,7.5
31,Rome Odunze,CHI,10,6.05,7,215.2,3.5,7.3
32,Marvin Harrison Jr.,ARI,14,7.04,7,214.0,6.2,7.3
33,DK Metcalf,PIT,9,7.03,7,211.2,4.4,7.1
34,Alec Pierce,IND,13,9.02,8,209.3,5.8,6.9
35,Brian Thomas Jr.,JAX,7,7.02,8,208.1,6.5,7.5
36,Chris Godwin Jr.,TB,10,8.09,8,199.8,4.5,6.4
37,Quentin Johnston,LAC,7,10.06,8,194.1,6.3,6.4
38,Michael Pittman Jr.,PIT,9,9.08,8,193.1,3.5,4.9
39,Michael Wilson,ARI,14,8.02,8,190.3,3.8,6.6
40,Wan'Dale Robinson,TEN,9,10.11,8,188.4,4.6,4.7
41,Stefon Diggs,WAS,7,9.12,9,182.1,5.3,5.0
42,Courtland Sutton,DEN,10,7.07,9,180.6,5.0,6.0
43,Jordan Addison,MIN,6,9.07,9,179.1,3.7,7.2
44,De'Zhaun Stribling,SF,8,12.06,9,176.7,5.3,5.5
45,Jayden Reed,GB,11,10.02,9,174.2,4.2,4.7
46,Josh Downs,IND,13,10.06,9,168.6,4.2,7.3
47,Jakobi Meyers,JAX,7,11.07,9,165.4,2.7,5.2
48,Romeo Doubs,NE,11,11.12,9,163.7,3.9,6.0
49,Khalil Shakir,BUF,7,13.01,9,162.4,2.8,5.1
50,KC Concepcion,CLE,11,10.12,9,162.1,5.9,6.7
51,Makai Lemon,PHI,10,8.07,10,161.1,6.6,6.9
52,Xavier Worthy,KC,5,12.07,10,160.3,6.2,6.0
53,Malik Washington,MIA,6,15.08,10,159.3,4.6,5.1
54,Jalen Coker,CAR,5,13.03,10,157.4,3.7,5.8
55,Rashid Shaheed,SEA,11,13.05,10,156.6,4.4,5.3
56,Matthew Golden,GB,11,11.06,10,155.2,5.2,6.8
